ax,ay,az,gx,gy,gz,tg
-10568,7375,-6698,-5359,-6406,-2152,1
937,1814,8229,1321,-8309,3932,1
2596,-4901,2700,2445,-1216,2984,1
4615,-10929,5796,-5486,3507,482,1
-2941,-15352,14262,-3754,-1093,-35,1
3881,-9205,7311,2598,-1591,3295,1
4085,-5434,-2424,336,-587,2343,1
2908,-735,611,-2814,921,196,1
-2734,6654,1564,-1013,-1728,-325,1
-4789,12517,-1586,66,-2942,-632,1
-6125,14774,-2473,-579,-394,-972,1
-4571,11795,-1753,498,182,1857,1
2272,6591,-388,2399,-379,360,1
1474,2277,-2864,3764,-2835,-317,1
1119,-3111,-6118,1728,-7826,639,1
6114,-15278,-4426,-8639,-3512,3954,1
-10252,-13286,18725,5159,2648,1349,1
6513,-7842,-1067,6407,-7270,6886,1
5409,-815,-3208,333,4086,397,1
-1914,5597,-1718,-2899,4378,-1450,1
-2825,12741,-1492,677,-12,1396,1
3141,14190,-6179,2251,185,-1038,1
-3318,10089,-5555,3043,1300,-3436,1
-5552,4869,-4018,3572,-2520,456,1
800,2492,-3485,2907,-2177,1436,1
4028,38,-4297,2021,-896,250,1
2636,-8900,-4706,-564,-2307,1487,1
9712,-15889,17720,-11740,-4238,-3214,1
-6559,-14427,-32550,-4441,4588,-6973,1
-9675,-9864,9145,3805,3298,7250,1
11759,-3430,926,1934,-3002,6934,1
6309,1311,267,-351,4825,-897,1
-1827,6956,-2424,-1220,2844,-1371,1
-2038,11027,-2507,-156,-336,74,1
2127,11942,-5993,2056,3131,-771,1
-442,8600,-9107,2636,2695,-517,1
1829,1683,-3886,1630,-2991,35,1
2725,-3575,-5486,-239,-5425,991,1
11768,-12137,5789,-8327,-4309,-181,1
-2781,-20665,32379,-7395,5454,-11129,1
-16413,-11799,16900,2035,3424,2827,1
5563,-6417,2567,3413,-2260,9689,1
9614,22,368,-136,2947,812,1
-2591,4047,-1828,-1098,2757,-1328,1
-1521,7434,-1887,-431,-570,-612,1
-1170,11827,-3247,984,-486,-707,1
-523,10609,-4449,1799,1874,-1567,1
-2350,4998,-3517,3238,2223,126,1
-1651,2354,-4048,4198,-961,1530,1
574,698,-4795,3910,-4382,2705,1
2675,-2084,-5538,-235,-4767,3780,1
11993,-10901,13239,-8214,-650,-3387,1
-9556,-16956,27350,-3689,1211,-7415,1
-5373,-11191,12637,3074,2946,3579,1
5149,-5015,-296,1232,-1697,6567,1
5874,289,551,-2364,1753,822,1
-996,8169,-3578,-2925,-644,-1343,1
390,12765,-3275,-2152,-362,-3142,1
-4070,9968,-1366,-564,1849,-4514,1
-7645,4499,-131,3033,2196,13,1
-3921,2094,-3352,4764,-620,4394,1
2277,1406,-4770,3636,-4256,4615,1
5081,-1353,-2348,558,-2678,1486,1
4960,-8157,6306,-4093,-2547,-122,1
2678,-13213,17566,-6379,-2186,-3515,1
-2532,-13948,23636,56,5499,-3048,1
-3604,-7545,3531,2191,2423,3960,1
6556,-2071,1607,-314,545,2324,1
574,621,-39,-1626,3838,-1050,1
-1081,4947,-2952,-1423,433,389,1
1520,11152,-3906,-1387,-2889,233,1
2623,12864,-4327,-1703,-693,-1795,1
-1783,8955,-1144,-1112,3925,-3648,1
-3012,4516,-1123,531,3450,-2039,1
-3428,2166,-1953,1343,-728,685,1
-421,-837,-390,2045,-5438,2812,1
7521,-12700,17729,-4221,62,-5026,1
-11793,-15188,19649,410,1728,-1734,1
2048,-10534,5064,4667,2726,6344,1
7278,-4388,-153,2004,563,2916,1
1376,-72,-1786,617,1426,-179,1
-669,5019,-4546,-120,-781,1265,1
536,10890,-5657,-2106,-1050,84,1
1190,11970,-3458,-2326,1791,-1938,1
-3441,7885,2,572,3742,-1654,1
-3152,3428,-2133,4016,633,1482,1
-1638,2145,-5524,3627,-3392,3390,1
2949,1192,-4750,1295,-4490,2924,1
1074,-2301,-3803,-1556,-3546,1775,1
6976,-10718,9325,-4885,-5355,2324,1
5177,-13322,25877,-4309,1371,-5118,1
-11186,-14229,19732,1438,7790,-2538,1
1655,-8075,1503,2945,-1972,5838,1
5697,-2062,932,53,2404,-25,1
-595,1633,-4072,-1316,3658,-1399,1
-2,7386,-5576,-2809,-310,-430,1
2954,12091,-2246,-2792,1731,-4845,1
-6517,7083,751,382,1811,-4295,1
-8370,3465,-161,3447,-982,367,1
-2124,1600,-1765,3969,-2775,3759,1
1262,-1728,-2333,1833,-2166,3742,1
8181,-7995,7709,-2623,-1583,1919,1
93,-14544,19073,-1452,-3360,-4942,1
-3817,-13913,18913,844,3521,-1932,1
-129,-7860,2126,1713,4347,1815,1
3910,-2792,2159,246,780,1192,1
-886,2286,-2206,-529,1501,382,1
-1940,7903,-4381,-1770,-465,1238,1
105,12845,-2818,-2007,-1062,1482,1
1657,13723,452,-706,1469,-434,1
-258,7187,3790,3724,3922,-1371,1
