ax,ay,az,gx,gy,gz,tg
-428,-8438,-882,-2272,776,3143,1
5950,-20248,6639,-3912,-171,2095,1
4164,-11155,8868,-1648,-664,-6392,1
-6640,-117,5276,-1290,-893,-4429,1
-4516,5495,4225,-949,430,-159,1
-3836,5592,4035,80,399,3134,1
1339,5721,-1175,2535,-2165,6058,1
7616,5844,-9141,203,-183,3854,1
9506,6505,-1595,1687,4358,-1523,1
2891,8688,-620,1533,3175,-2481,1
198,4574,371,65,96,334,1
3807,-1281,1349,2644,1583,-918,1
-2568,-619,561,1307,1547,328,1
1628,-12659,3181,-985,78,3626,1
7563,-22205,9541,-1939,535,-1318,1
-733,-10668,4140,-645,511,-8406,1
-8568,-366,2127,-1018,304,-4719,1
-6061,4260,2967,-1768,-353,363,1
-2649,5834,2806,-55,-1065,4895,1
9740,6037,-5404,-1494,697,3566,1
9381,8057,2794,-24,3233,-3089,1
2209,7803,5483,1872,2162,-3436,1
3176,4114,2606,2427,-111,-1112,1
4015,-1657,1337,4135,106,-1608,1
-1918,-3492,-3457,4190,1709,-3531,1
-4878,-7879,-4218,238,5189,1379,1
2171,-18824,9784,-2122,4685,126,1
1424,-10413,6096,-1342,1112,-5629,1
-4606,-2055,5586,-1598,696,-4156,1
-2592,2532,4551,-1331,1693,-1547,1
-3106,5155,2523,278,3888,-246,1
-2570,9041,-1557,141,1891,3969,1
4481,8453,-4608,-3023,1614,3828,1
7497,7476,1107,-1558,3940,-787,1
-587,9675,3353,3399,6517,-3183,1
-3171,7725,129,2681,6589,547,1
-1418,408,3119,2669,5671,2248,1
-1258,-4825,-69,2740,5374,-856,1
-712,-8283,9175,286,4635,48,1
-2552,-7275,5109,2123,-1964,-3827,1
-4233,-3217,2928,866,-2561,-1777,1
-3937,-107,1173,1082,-533,-956,1
-6661,3307,-2163,525,-930,636,1
-1915,4278,-4452,931,-2245,2706,1
4737,6583,-10265,470,302,758,1
1489,6946,-9533,-268,3201,-2251,1
-4646,9205,-3287,-1786,4595,-1189,1
-1428,5808,-690,-1526,5416,749,1
-79,1083,982,-239,5829,-782,1
-4272,6,2471,-354,4892,-1722,1
-5877,-3358,9184,-5350,294,2700,1
3601,-11182,20825,-1841,161,835,1
-1394,-10660,11686,7227,1992,-3547,1
-7616,-5201,-4208,3034,-1908,-1080,1
-3906,-1542,-2460,661,110,-144,1
-2430,2272,-3339,310,464,1369,1
3117,6045,-4358,503,-263,3839,1
11231,7298,-1474,247,1407,-688,1
4614,8705,-1887,1410,1976,-5024,1
-7069,11799,-5015,1663,2534,-2680,1
-5791,7418,-1719,1965,3927,943,1
-5765,2231,-1591,2051,1452,1969,1
1460,-1349,93,-1595,341,614,1
-743,-8368,1927,-4776,-533,-131,1
-242,-12015,16758,-445,4856,-3517,1
-7950,-6675,11060,6014,5066,-2576,1
-5234,-6877,-3105,2134,-1733,1607,1
-4404,-4790,-522,338,-4125,-122,1
-4255,-570,-2387,-85,-3379,1178,1
2409,3882,-2396,-1292,1308,2910,1
10974,7372,-905,499,2704,183,1
5054,7542,-5311,1807,698,-3859,1
-4800,9832,-7220,638,-2443,-4393,1
-6935,8623,-5930,724,2492,-919,1
-5630,3482,-2029,-1139,4726,2987,1
-3036,-3422,731,-4275,2226,2732,1
-2827,-10872,11498,-5585,-826,-1690,1
-6182,-10252,20081,4859,877,-4382,1
-7826,-4966,1268,7181,9,998,1
-1560,-7791,-928,2632,-2422,1253,1
-4062,-2276,-3094,577,-2297,510,1
-2156,23,-4402,-483,-501,1114,1
-427,2853,-4726,-1682,625,1621,1
6961,6424,-1944,776,83,2843,1
10652,5778,-7151,1207,-912,-1037,1
2139,7295,-5375,313,-386,-5837,1
-8588,8760,-7115,1559,2708,-2675,1
-6423,4484,-3177,-444,3821,690,1
-4607,-1829,-1064,-3039,816,2635,1
-2817,-6401,18726,-923,928,-3694,1
-11328,-5916,8581,8086,2966,-1659,1
-3203,-9168,-3275,3766,1219,3064,1
-2063,-6512,-1564,-349,-2392,1247,1
-4759,-2580,-1733,370,-1130,1489,1
-1543,507,-3242,-1813,324,1937,1
4625,3872,-490,-1830,639,2063,1
9999,6502,-2911,497,176,1536,1
8062,6209,-7775,1886,-716,-2923,1
-848,8733,-8298,1364,91,-7279,1
-11331,9209,-6723,838,1346,-1795,1
-6886,2721,-1943,-1222,2229,1422,1
-5033,-1548,5893,-1969,1815,1641,1
-7078,-2778,7275,-4319,-1498,970,1
290,-8037,12885,-4540,-2322,778,1
-5506,-8957,5104,3971,-1745,517,1
-2078,-7835,-2336,334,-5164,2187,1
-2890,-4472,-1895,-2729,-8100,1481,1
-4076,-1015,-1522,-4112,-9182,1948,1
-3398,1624,-2474,-5736,-8804,2685,1
988,3796,-1204,-4751,-7461,4299,1
5596,9453,-2195,-3004,-3705,1052,1
-711,11512,906,-3231,-2912,-1078,1
-3694,7480,5290,-3949,-3594,3417,1
2652,-1221,9557,-623,356,2581,1
1041,-4279,6781,7441,3807,714,1
-4677,-5656,4383,2505,-369,701,1
3715,-17466,9501,-3263,-5269,541,1
-80,-14389,4233,4591,-1528,-6324,1
-12277,-2899,-4222,1125,-3411,-3687,1
-5172,-357,454,-2554,-4375,64,1
-4338,3012,-217,-1325,-3209,1318,1
669,5728,-1416,-735,-2110,3809,1
9533,8877,-3103,-1156,-975,1919,1
5741,11537,-881,-1191,-288,-341,1
3280,10107,5039,22,-3,-542,1
2664,1605,3536,2410,34,102,1
-141,-783,-195,3250,-321,-704,1
-6891,-3516,-2832,965,-281,-211,1
3095,-15588,3490,-3693,2663,4335,1
6857,-20729,15954,440,1014,-2250,1
-5033,-8444,5079,1096,-1464,-9385,1
-10603,688,1765,626,-2600,-2597,1
-5742,3317,1137,-1071,-2220,751,1
-4564,4587,955,-1818,-3478,4004,1
2480,4538,-3362,259,-2832,7347,1
11868,5657,-7920,-1502,-78,4167,1
12152,5758,-270,-1484,1990,-3163,1
-757,10704,4783,1263,1796,-4268,1
-907,7948,3616,792,-587,2107,1
3040,-130,4038,1639,-260,1849,1
-3806,-1993,-3503,-572,274,-59,1
688,-11432,4077,-1764,2949,1242,1
2520,-16276,12515,300,2716,-2596,1
-3974,-7677,6813,1344,-1181,-6185,1
-7545,-741,3042,-199,-3109,-2348,1
-4374,1458,2253,-584,-2682,169,1
-3530,4036,817,-665,-2821,3152,1
1561,4191,-3066,-659,-2967,6706,1
11414,3475,-7471,-1802,-1732,5823,1
12673,4697,-2505,-1424,2157,-2763,1
1107,10356,5949,1138,2018,-5408,1
-4254,9155,4650,1009,-600,369,1
1241,1849,3194,1251,-1068,2778,1
2557,-2393,1265,3735,1427,397,1
-3011,-2613,-2363,1660,1115,407,1
2021,-12058,2412,-3152,1826,2502,1
3453,-17628,8990,506,2664,-5102,1
-8147,-6866,5404,932,-52,-8099,1
-8325,533,2595,-518,-2686,-2659,1
-4166,1809,1747,-1483,-1463,-250,1
-4193,4278,1148,-898,104,2780,1
1941,5029,-1986,-803,-523,6595,1
8856,5108,-5403,-1906,1274,6111,1
10595,3765,3548,-2111,3310,1045,1
7082,6494,9970,1545,2291,-3376,1
1352,3892,2018,3299,420,565,1
2138,-307,395,3585,1284,793,1
1148,-2418,-1615,2552,2165,-548,1
-3517,-5331,-5748,681,5434,-1922,1
969,-12203,7570,1178,8376,-2113,1
-119,-11486,12098,5053,6621,-6635,1
-7607,-5062,4815,3455,357,-6390,1
-7129,-489,2109,-882,-3467,-616,1
-1588,-1321,2899,-645,-2368,289,1
-2931,2325,465,903,-909,749,1
-1016,4610,-2154,-1058,-1541,3516,1
4334,5874,-6988,-1663,-1139,4839,1
7053,5238,-6658,-1519,2317,991,1
2406,7559,-1744,-539,4609,-3037,1
-3517,8801,509,583,3936,-1494,1
-2171,2467,-299,1798,6050,998,1
-1676,-3279,2073,826,6909,-521,1
-3654,-8138,15766,-1658,6708,-1314,1
-552,-8330,22622,4696,2657,-1975,1
-5304,-10828,523,6006,-901,-2077,1
-4311,-5620,-2967,1182,-1373,-1015,1
-3418,-2350,-2316,-1411,-1490,-1022,1
-3099,551,-2428,-1473,522,-265,1
-1517,2634,-2885,-608,2228,715,1
2969,5566,-1544,-23,2218,1813,1
9919,6175,-1247,2509,2752,-2698,1
324,7572,-6703,4469,1848,-7664,1
-13095,12985,-9203,-944,1243,-4075,1
-9124,7606,-4487,-269,5023,3862,1
-3548,833,2052,-392,5584,5579,1
1430,-3011,2553,-4131,886,3385,1
-1419,-8218,10804,-6263,-1685,-892,1
-2622,-11086,13902,4082,4731,-4570,1
-9944,-3132,5355,6796,3205,-914,1
-3510,-8412,-1863,1932,-2384,2600,1
-2372,-4581,926,-370,-3155,-473,1
-4207,-1627,149,533,-2146,166,1
-2235,-294,-1739,144,-688,539,1
-366,2325,-3055,61,-197,839,1
4374,5338,-2734,1170,56,1188,1
9166,5769,-7955,2908,572,-850,1
-8524,8151,-8980,-1076,1738,-4699,1
-9916,5292,-4736,-560,5426,83,1
-6750,-919,348,-3534,3337,2412,1
-2205,-9762,6166,-8779,40,466,1
-2848,-10485,27405,-312,1586,-5975,1
-15778,-701,5865,8040,2199,727,1
-1179,-12606,-1356,1683,-2093,6011,1
-1362,-5372,-305,1087,-4950,1443,1
-4612,-2004,-3251,277,-5809,3581,1
7,-237,-6195,-30,-2351,2598,1
2867,4175,-5355,-505,-1816,3416,1
8850,6662,-9559,74,-1592,3968,1
-2100,7674,-4249,-235,878,-5646,1
-7155,7255,-3708,-1886,1226,-1597,1
-2529,857,1872,206,1358,1869,1
-8460,-2275,10916,-6633,-931,382,1
-11495,-6481,20445,-4803,-8338,5969,1
-62,-11083,13471,-3193,-11096,2744,1
-842,-12693,-4328,2840,-5761,-2621,1
-9165,-2762,-5210,2143,-3475,-1643,1
-5721,-374,-3946,-2701,-6165,1473,1
-3992,4090,-6241,-6683,-7139,-1302,1
-1378,4412,-2648,-1578,-8211,6160,1
8594,7176,-7177,-2482,-3414,4399,1
7661,6884,-2723,-3239,-625,60,1
65,10153,-1691,-2181,1292,-826,1
-371,6235,2879,-2505,-101,2280,1
25,1987,3526,23,517,835,1
-2140,-1661,4528,575,813,1924,1
505,-6287,5365,-436,2132,2712,1
-28,-11226,8504,-624,3417,2016,1
4493,-13720,16381,1046,-187,-1938,1
-3826,-7878,3619,3203,-2253,-6439,1
-1967,-818,2770,-610,-3820,-1257,1
-2645,3743,-947,1151,-3741,-707,1
-1061,6303,-4845,1343,-3514,2527,1
3851,7937,-7024,1254,-1980,2104,1
383,9309,-12588,-40,-408,-829,1
-3982,9293,-6032,-658,4072,-420,1
-2509,5649,-1291,543,6086,1932,1
-603,1445,4595,-867,3051,1974,1
1924,-6726,6095,-1611,1183,-33,1
-1391,-9614,7127,-662,6085,1335,1
-1176,-8117,11112,967,-4903,-3904,1
-6094,-3237,4449,1515,-3354,-2887,1
-3133,-1955,2216,2164,-1885,-1695,1
-3642,648,1146,1101,-1069,-1631,1
-4122,5566,-3347,2612,-4795,3452,1
3982,7274,-10291,-1551,-5475,4783,1
6733,2119,-12914,-984,-1657,1400,1
-1182,5240,-9648,-117,3291,-3440,1
-1305,6834,-1512,-495,4011,-3152,1
-5722,6795,-175,1004,2731,-581,1
-1962,3908,2242,-947,364,2498,1
2158,-1461,7536,58,-928,471,1
-1215,-4085,6861,242,2481,986,1
3914,-13013,25268,-988,973,2661,1
2684,-11429,12595,2400,-2916,-4562,1
-8645,-2885,-290,1699,-1403,-4005,1
-4479,14,789,-9,-1069,-714,1
-1538,3470,-1743,1267,-2218,3855,1
847,3413,-7214,326,-2415,4502,1
5625,2048,-13592,-298,-975,3935,1
2313,2873,-13076,-2974,2014,-1112,1
-4417,5701,-4488,-3761,4507,-2864,1
-3387,8171,6627,-2203,2422,1812,1
1908,1307,13369,-2145,423,4560,1
5774,-9206,23615,1979,-883,2541,1
7786,-12598,22177,950,-6361,-505,1
-1881,-10315,7042,3885,-3958,-6773,1
-5078,-1957,333,2126,-1681,-2328,1
-3331,5515,-5978,3377,-565,-1284,1
-3058,5737,-9597,1295,-833,917,1
-2998,2707,-10113,-1673,-1164,2935,1
-1032,1768,-12547,-1595,2667,-2419,1
-2698,4101,-6665,-2020,4863,1366,1
95,803,-977,-3070,3652,1897,1
13,-15,1391,-2544,3297,255,1
-729,-537,7783,-2888,2997,167,1
2423,-4748,16483,-3295,2235,2116,1
2911,-9039,17629,-138,785,-70,1
702,-5494,16322,1641,-2520,-2041,1
-5644,-1570,5216,2379,-3507,-1976,1
-3391,-1504,3945,2219,-3102,-733,1
-3499,-852,1661,3642,-2732,-39,1
-215,3537,-11005,3712,-1540,467,1
-628,3583,-13308,429,753,1542,1
-2686,2260,-12772,31,2635,-414,1
-1371,1849,-8244,-3264,2519,1317,1
-7,-815,-4334,-4675,3311,1189,1
-3081,-471,6358,-4417,5025,625,1
5931,-8777,22128,-4219,3883,470,1
7135,-7906,30017,-233,-691,-771,1
-2106,-6025,14095,2398,-4726,-5035,1
-9556,-195,1686,3357,-2749,-1881,1
-3758,-1499,1291,558,-3130,-155,1
-359,357,-2216,2608,-2519,1289,1
920,3885,-4908,2959,-675,-563,1
966,4260,-5086,1994,-1677,107,1
2552,3666,-8074,775,-3058,-784,1
-669,2391,-6424,521,2125,452,1
-720,1978,-2366,-579,1773,119,1
-1865,1541,-1728,-1365,1261,584,1
-3060,-562,-461,-2418,2521,678,1
-4555,-2777,5178,-3913,6084,4066,1
6764,-14312,26832,-6176,5577,2678,1
7380,-10221,28779,1190,-1842,-2395,1
-3612,-3697,8991,2647,-3064,-6227,1
-5704,-719,4326,2984,-2738,-3657,1
-4431,447,1150,3010,-2878,-1414,1
-1397,2625,-4738,4864,-1854,1090,1
-447,4101,-11320,2897,-3023,3561,1
5420,307,-14608,-499,-4221,3802,1
3421,-510,-14140,-1138,-1355,-2448,1
-5396,5021,-6782,-1899,1649,-4050,1
-5035,2565,5314,-2969,2637,2589,1
-33,-5325,12347,-1641,4552,3994,1
5088,-8337,23045,-1135,2402,1312,1
5660,-12061,17059,-919,-3027,-3504,1
-7690,-2755,3370,2013,-1496,-4272,1
-4478,2490,-191,963,-2174,363,1
-1756,4190,-1963,-317,-1419,1681,1
1645,5419,-4679,1119,-31,3699,1
3897,4324,-6375,446,448,4442,1
7740,3061,-7145,-786,588,90,1
3252,2956,-3242,71,1710,-3591,1
-3529,6483,-628,1188,2001,-2912,1
-3031,5164,-209,1046,1430,620,1
-2187,2090,-2941,450,2507,2024,1
-157,-1679,-1423,-737,4508,849,1
-4528,-4412,5830,-4249,4135,1150,1
3772,-11114,21911,-4058,4511,659,1
5125,-9737,19885,2874,482,-4597,1
-5104,-5057,5176,2332,-2307,-4808,1
-4987,-3834,3905,2428,-1918,-3539,1
-3499,32,1692,915,-2653,2489,1
-582,2403,-227,1672,-1607,2612,1
2584,3934,-4757,3165,-445,4725,1
5332,2989,-10246,881,226,2950,1
5267,5551,-7651,2475,1327,-5254,1
-6581,11423,-7355,1362,1459,-2191,1
-652,6575,-6513,102,655,2630,1
437,3101,-7613,-1238,2041,2429,1
1733,-925,-3247,-1665,3659,704,1
-3192,-5318,3418,-3230,5835,-1113,1
-1164,-13275,20860,-3208,7419,895,1
-297,-13202,25517,839,2192,-5268,1
-8313,-5383,8226,4366,-3393,-5455,1
-9100,-1645,650,680,-4687,-561,1
-3944,-3234,4378,1308,-3373,976,1
-2152,2608,-741,758,-2278,1861,1
2550,6990,-7498,1151,-1948,3877,1
9735,5781,-10607,-461,-621,3308,1
8122,7038,-10377,1580,502,-2164,1
-2647,8722,-5116,163,806,-2966,1
-2210,7455,-733,-874,722,129,1
-1904,1684,1001,-190,1646,740,1
-4033,-2017,836,-886,3701,749,1
-3783,-8174,12503,-4990,6072,1132,1
975,-14315,28790,1432,1694,-1010,1
-4065,-9866,9238,5104,-2212,-5078,1
-7558,-1172,-706,1385,-2965,-1512,1
-4037,-2354,1373,196,-2689,-46,1
-2797,2398,-1879,1619,-2947,2127,1
-251,5674,-5119,-678,-2619,4234,1
8570,4452,-13162,-1925,-248,-1470,1
-1181,9580,-5446,-439,1902,-3736,1
-4843,11006,-3619,-699,2087,-711,1
-3094,5125,1589,-3299,339,4071,1
1427,-1450,3761,-2665,477,3467,1
-757,-5964,13049,-1533,4158,695,1
4276,-12888,27537,2319,3502,-1131,1
-1328,-14386,17323,5980,-4807,-4468,1
-8603,-7821,-1173,3394,-5379,-4602,1
-7636,-3454,-638,2075,-2917,-2427,1
-409,2590,-4387,2394,-877,303,1
-4999,11298,-13881,-1356,590,3865,1
5425,7226,-10860,-2705,1054,6134,1
9416,4441,-3973,-862,2044,2925,1
5566,5181,-5029,2043,1225,-587,1
2411,5136,-4803,-804,-474,-1465,1
940,3541,-2461,-2122,58,-666,1
252,-61,398,-823,2034,-1622,1
-8689,-2036,3154,-1460,5072,-2563,1
-5059,-6706,15976,-4875,2277,2192,1
5414,-15404,24261,-1834,-1262,-1052,1
-5259,-8698,4777,4456,-1213,-6896,1
-9889,-921,-589,-149,-1604,-256,1
-2876,-2865,3673,-1052,-2259,1351,1
-2091,1034,1315,-45,-1248,1345,1
-883,3404,-399,-23,-129,2602,1
1326,7143,-4192,-100,2,7363,1
9930,2554,-4120,-2687,-463,9056,1
18336,-26,354,-1761,-42,1136,1
7177,4621,362,2318,829,-7512,1
-4808,8881,-153,2521,-970,-5975,1
-2317,6160,318,1986,-1944,-213,1
154,3789,-724,1830,-1248,719,1
-944,1656,-1615,1449,795,520,1
-2430,-1633,-3464,1052,3616,-419,1
-4964,-5945,2564,-3587,5079,360,1
1319,-14573,17968,-2709,3300,-262,1
2799,-12898,18338,2222,-489,-5756,1
-9072,-5522,1922,3474,-2400,-6497,1
-7237,-740,707,240,-2648,-819,1
-5650,-275,108,-1061,-2750,1131,1
-2646,3183,-1853,-833,-1677,3070,1
-1878,6662,-3245,-1021,155,5219,1
4674,5507,-5607,-2086,-284,9947,1
17147,809,-1409,-4009,-1083,6206,1
13476,2694,2848,1452,583,-4322,1
-174,9768,1703,1594,359,-6813,1
-2122,7629,2108,169,-1994,-253,1
-1142,2388,2660,617,-1224,125,1
-2144,-1429,-91,2552,1234,257,1
-4221,-6282,5049,-367,3801,911,1
540,-14679,12856,196,2059,-1165,1
-1334,-12563,8623,3178,430,-4419,1
-9200,-4419,-1924,715,-297,-3700,1
-5803,-1142,-742,-2445,-1197,202,1
-4207,1339,991,-2344,-1619,2434,1
770,5270,-1047,-3228,-671,5683,1
6322,6289,524,-4596,148,7934,1
15939,4390,2655,-3209,1063,2941,1
10865,7176,8007,869,608,-4542,1
-351,9784,4478,3827,-353,-5633,1
-3706,8139,-2493,3102,-2170,120,1
-1110,2973,-2330,45,-3724,2647,1
3203,-2728,-892,-393,-2260,1091,1
-3859,-4479,-2433,1280,3213,-2182,1
-1225,-11564,7423,-391,7601,1715,1
4688,-17949,21895,-151,2422,-2755,1
-4419,-9926,6252,1954,-2811,-7069,1
-9514,-1871,329,1171,-2110,-3104,1
-4734,-130,1832,-174,-1243,-954,1
-4904,2521,520,-958,-1469,1856,1
-1051,4788,130,-480,-613,3649,1
1702,7571,-3124,-481,189,4509,1
11606,6713,2817,1380,1407,-512,1
3014,8155,228,3851,702,-3616,1
-2652,8514,-3802,769,-1023,236,1
1000,2952,-1603,-1268,-2072,3314,1
2975,-3157,-964,-491,-160,1060,1
-4442,-4055,-544,512,3528,-1886,1
-936,-9395,7207,-3426,5027,1999,1
6067,-18227,23533,-195,3407,-2938,1
-2263,-9159,11497,4666,251,-7959,1
-10133,-830,-645,2535,-2092,-3811,1
-6058,888,1395,806,-1517,-117,1
-4932,1016,1264,643,-1977,1724,1
-1210,4099,-2471,1771,-2213,4467,1
764,6319,-6041,92,-579,5305,1
7540,5368,-9701,-908,394,5960,1
-1050,8023,-2512,-641,637,-2246,1
-1609,6776,-606,-2059,-536,1512,1
-243,1589,1710,-2230,-222,2427,1
-620,-3591,1740,-370,2879,-682,1
-1199,-7843,10200,-1824,4671,1970,1
6549,-16736,25714,239,1149,-1919,1
-2683,-12482,10139,5772,-626,-8796,1
-12852,-2158,-2380,4094,-802,-4667,1
-7669,-386,-500,-224,-1805,-531,1
-4849,408,-679,161,-940,2203,1
-49,6013,-6235,1162,1548,3623,1
2520,9005,-8428,-3399,2110,6681,1
19750,1334,-3038,-3111,3304,3353,1
12405,3147,3395,3633,7007,-8621,1
-3874,8592,-1240,4292,6262,-8569,1
-5147,7140,1949,3045,3891,-2380,1
-1607,2435,-2483,4129,4289,81,1
-928,-1534,-3314,4617,7924,-1374,1
-2353,-5990,-4887,2726,9314,-4093,1
-5476,-10792,6139,-2485,8049,-7643,1
-13038,-6149,19659,2083,6969,-7764,1
-12387,-832,6072,6309,2690,-34,1
-2216,-7625,-141,2266,-1410,3811,1
-1597,-4242,916,1667,-1424,1258,1
-1790,-1498,-1880,-142,-2454,2024,1
679,-281,-3749,-1049,-1071,1749,1
3791,3977,-2863,-1822,488,1693,1
6929,8063,-2798,-953,66,2245,1
7975,4579,-7931,946,220,-1073,1
-699,4012,-7877,1870,-465,-5211,1
-6856,6213,-13066,1279,1986,-4279,1
-7003,1637,-7386,-1533,4469,108,1
-3688,-3936,-3885,-3941,5095,-322,1
-5725,-6581,-825,-9168,2167,-3039,1
-9280,-15206,19536,-5256,1998,-5626,1
-15474,3866,18375,5924,3823,-3373,1
-8484,-7014,1203,6012,656,7771,1
-4599,-3856,395,2031,-2353,1335,1
-2088,-1609,125,1183,-1536,2496,1
-173,130,-2027,-66,-2291,2116,1
1142,3756,-1519,-879,-3520,2649,1
4745,5067,-5988,112,-4451,2342,1
7521,1614,-11691,2374,-3373,-286,1
1094,2695,-14099,2553,620,-6525,1
-9704,7816,-12546,-323,2124,-4414,1
-4431,3461,-7795,-2993,4136,1960,1
-2847,-3291,-1507,-3446,2840,2085,1
2508,-5275,2500,-4712,1372,-1943,1
-2514,-8949,9985,-7906,-836,-5569,1
-9015,-4885,19700,-621,2230,-4339,1
-14383,-1424,10261,8033,3574,1887,1
-2589,-12821,-490,1678,-5626,7525,1
-5091,-2772,829,186,-8332,2499,1
-2073,-663,-1735,585,-5225,2210,1
-3332,3090,-4208,-45,-4438,2937,1
-466,7669,-11789,-873,-2896,2957,1
4243,5369,-12839,-2382,-1019,3266,1
6782,6609,-11077,-174,2722,-2826,1
-7525,8916,-2088,-1315,2438,-2537,1
-4333,5872,1034,-1506,3823,-703,1
-4875,38,5933,1378,4223,1494,1
-3975,-951,4233,1364,2004,-657,1
-7466,-5001,7892,-2904,947,-100,1
-2659,-7815,17203,282,2620,26,1
-5502,-6451,10692,3660,821,1935,1
438,-10373,1114,1565,-3893,2747,1
-2214,-4928,1289,1093,-4796,27,1
-4525,-475,-1180,352,-6344,1393,1
-2273,2130,-5146,-2785,-6765,2546,1
-3395,5580,-3755,-3824,-8719,4240,1
4142,11835,-8998,-4471,-5274,4544,1
2890,10932,-3838,-2533,-3162,1442,1
-1201,11589,-2634,287,-2173,1246,1
-2427,6995,-2598,-2211,-2537,3833,1
211,2379,-54,-3022,-3775,4284,1
1812,-1314,-956,-2349,-1966,3242,1
-1639,-5681,325,2040,2913,926,1
-5576,-13281,2535,-634,5703,2754,1
1166,-17462,28905,-3212,-2833,1296,1
-171,-12175,9091,1801,-6630,-7552,1
-12326,-1053,-1424,1266,-4672,-4086,1
-5738,1489,2043,-1769,-3694,-504,1
-5080,3287,824,-1321,-5295,1237,1
-2433,8087,-2560,-1491,-5845,4223,1
6424,8144,-8402,-1206,-5513,6436,1
12855,6482,-7946,-358,-1155,-257,1
2246,10176,-2788,-207,1658,-3732,1
-2839,9797,239,-1187,1747,1627,1
650,1435,3186,-1810,1491,3850,1
-1558,-3720,7845,1721,-1235,652,1
-157,-8947,7903,1579,1059,436,1
7574,-18517,17855,-731,-1156,1488,1
2007,-15392,8020,3319,-1368,-7865,1
-14343,-3214,-3820,1950,-1175,-4912,1
-6803,-366,-816,-1247,-2358,-783,1
-3793,865,386,-496,-5469,366,1
-514,6417,-3873,15,-2306,2475,1
2830,8444,-5919,-1601,430,4813,1
8543,6894,-7972,-3145,2164,5832,1
4139,7564,3733,1897,1015,-3262,1
-1643,6959,281,2046,-2028,68,1
1881,2779,1368,1585,-61,1315,1
1745,-700,1656,1130,1168,1727,1
-3102,-4674,3554,-815,2443,727,1
950,-14929,5604,-721,4076,2504,1
1455,-17932,14714,1720,2244,-4711,1
-9855,-6684,3498,1382,-2016,-7995,1
-11658,-518,-628,-831,-2190,-2510,1
-5851,-557,1721,-1780,-1376,512,1
-3351,1238,1811,-1308,-774,3899,1
3048,2461,428,-242,-1203,5960,1
12207,4342,-6424,-1641,-880,6841,1
18090,1192,-2750,-4268,687,2314,1
13959,6312,7574,172,713,-6042,1
-395,8174,3892,2846,-3634,207,1
1597,944,1855,1934,-3876,2408,1
-175,-2462,-3443,2292,-2257,1109,1
-3236,-5068,-4096,3379,3133,-1251,1
-473,6028,1,3533,-1525,93,1
-1815,2569,-1975,2515,-886,-1065,1
-412,-312,-2306,1520,-1355,-44,1
8092,-5194,-828,-1588,-234,-1626,1
4738,-12225,7349,-5566,1424,-5600,1
-5815,-19131,16722,-1838,3465,-2348,1
1728,-8722,1941,3798,747,4612,1
5031,-1904,-2901,697,-709,4190,1
3194,-501,255,-2536,1884,2097,1
-2977,7491,196,-2798,-497,240,1
-3006,9671,2841,-2195,-1585,-665,1
-3319,9092,6290,-299,-1160,-1075,1
-2828,6968,5217,3070,-1245,298,1
-85,5564,713,4516,-1942,799,1
942,3839,-1962,2729,-1657,-554,1
297,245,-1444,596,-738,-1433,1
5567,-4676,1105,403,-1392,-1548,1
3960,-11165,3553,-2125,-1624,-3252,1
917,-17653,14607,-4020,3758,-2575,1
2083,-2968,-2181,1581,-989,3136,1
2645,213,-459,-1979,937,2706,1
-2242,4026,-1144,-3372,2091,759,1
-6999,9975,776,-4093,-814,854,1
-4196,11697,5210,-2313,-2345,1531,1
-416,10735,9272,882,-721,433,1
-1012,7025,2597,5903,-842,-495,1
-1061,4525,-2419,5161,-3657,331,1
2695,1601,-5437,3158,-3391,-405,1
7738,-5036,-3791,-855,-417,-2387,1
1271,-17969,10563,-8212,2955,-4663,1
-5974,-21321,17125,44,3057,-723,1
1946,-10483,225,6057,-171,5272,1
5958,-2277,-3884,357,291,4825,1
2368,347,413,-3801,4961,1764,1
-2609,5633,-666,-3332,4088,417,1
-2704,10471,518,-2478,105,-164,1
-5603,12111,4341,-6,-1415,-1127,1
-2584,11275,6113,3412,-499,85,1
-1068,8956,424,4843,406,1151,1
324,5790,-2650,1498,1162,1701,1
1773,1928,-1531,432,767,343,1
5655,-3097,585,1977,-2255,-1363,1
5664,-11341,5768,-1916,-3592,-3813,1
-753,-23354,17309,-4368,3506,-5427,1
-3671,-14466,7683,979,7893,-566,1
3634,601,-1285,-1083,881,2469,1
-547,7037,-2403,-3555,1987,657,1
-2543,10885,232,-3285,872,-2603,1
-8908,13188,2925,-829,16,-2580,1
-6161,10402,3740,4131,-86,-551,1
-5547,6079,-2026,5419,1251,1030,1
-785,4446,-6080,3774,398,2714,1
5598,1663,-1177,132,505,1148,1
7718,-3375,2235,260,6026,-2063,1
10917,-13930,1289,-5004,5068,-8637,1
-13825,-19351,11290,635,642,8488,1
12685,-2037,-2200,2704,-6814,9816,1
8739,3380,-166,-5001,3180,707,1
-2197,7601,-2608,-4083,3260,-3033,1
-7165,11008,-3169,-2859,-730,-2267,1
-7471,14328,-2912,579,-3000,-30,1
-4563,10638,-1194,3115,-2292,46,1
-2637,6762,-2594,1900,247,686,1
-337,2473,-2116,1381,-682,677,1
6710,-2280,1619,1350,-2891,854,1
10887,-11690,10640,-4525,-1503,-4746,1
-15003,-29809,17313,-3637,9182,-8930,1
